date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-04","SHIV SHAKTI COSMETICS - DAKRA",500.0,"","","","",,"Cash",MA
"2025-04-04","SHRINGAR COSMETICS - KAULAGARH",135.0,"","","","",,"Cash",MA
"2025-04-04","SHYAM GEN STORE - DAKRA",904.0,"","","","",,"Cash",MA
"2025-04-04","SUBHASH GEN STORE - DAKRA",1350.0,"","","","",,"Cash",MA
"2025-04-05","RADHE RADHE MINI MART - GAURAKHPUR",2530.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","GURU KRIPA MEDICAL - VAN VIHAR",975.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","GANPATI MEDICAL - DEHRA KHAS",200.0,"","","","",,"Cash",MA
"2025-04-05","GROWELL PHARMACY - NIRANJANPUR",708.0,"","","","",,"Cash",MA
"2025-04-05","HINDWAN MEDICAL STORE - KARGI ROAD",919.0,"","","","",,"Cash",MA
"2025-04-05","LIFE LINE MEDICAL - DEHRA KHAS",226.0,"","","","",,"Cash",MA
"2025-04-05","OM MEDICOS - PATHRIBAGH CHOWK",200.0,"","","","",,"Cash",MA
"2025-04-05","ROYAL BAKERS - DEHRA KHAS",200.0,"","","","",,"Cash",MA
"2025-04-05","SARASWATI MEDICAL - KARGI ROAD",356.0,"","","","",,"Cash",MA
"2025-04-05","ADVIK STORE - POOJA VIHAR",1173.0,"","","","",,"Cash",MA
"2025-04-05","BIRLA DEPT STORE - CHANDRABANI",500.0,"","","","",,"Cash",MA
"2025-04-05","KANHAIYA MEDICOS - NEAR BANSAL HOME",500.0,"","","","",,"Cash",MA
"2025-04-05","HAPPY HEALTH SWADESHI HERBAL MART",348.0,"","","","",,"Cash",MA
"2025-04-05","HEALTH CARE PHARMACY - GMS ROAD",165.0,"","","","",,"Cash",MA
"2025-04-05","HEALTH CARE PHARMACY - GMS ROAD",35.0,"","","","",,"Cash",MA
"2025-04-05","HEALTH LINE MEDICAL - CHANDARBANI",500.0,"","","","",,"Cash",MA
"2025-04-05","JEET COSMETICS - CHANDARBANI",315.0,"","","","",,"Cash",MA
"2025-04-05","KANISHK PROV - CHANDRABANI ROAD",1000.0,"","","","",,"Cash",MA
"2025-04-05","LIFE LINE CHEMIST - MAJRA",500.0,"","","","",,"Cash",MA
"2025-04-05","MUNSHI DAAL BHANDAR - SEWLA KALA",822.0,"","","","",,"Cash",MA
"2025-04-05","NEHA COSMETICS - SEWLA KALA",597.0,"","","","",,"Cash",MA
"2025-04-05","NEW KHALSA CHEMIST - GMS ROAD",174.0,"","","","",,"Cash",MA
"2025-04-05","OM THE DAILY NEEDS - CHANDRABANI",555.0,"","","","",,"Cash",MA
"2025-04-05","RATURI STORE - CHANDRABANI ROAD",500.0,"","","","",,"Cash",MA
"2025-04-05","VAISHNO MEDICOS - CHANDARBANI",500.0,"","","","",,"Cash",MA
"2025-04-05","ARIHANT STORE - POST OFFICE ROAD",600.0,"","","","",,"Cash",MA
"2025-04-05","GOYAL STORE - TURNER ROAD",796.0,"","","","",,"Cash",MA
"2025-04-05","GUPTA PRO STORE - CLEMENT TOWN",500.0,"","","","",,"Cash",MA
"2025-04-05","HIMGIRI STORE - TURNER ROAD",300.0,"","","","",,"Cash",MA
"2025-04-05","JAI MAA BHAWE DAIRY - TURNER ROAD",549.0,"","","","",,"Cash",MA
"2025-04-05","OM SAI COSMETICS - CLEMENT TOWN",1000.0,"","","","",,"Cash",MA
"2025-04-05","PARVEEN MEDICAL - TURNER ROAD",600.0,"","","","",,"Cash",MA
"2025-04-05","PRAPTI MEDICOS - TURNER ROAD",6428.0,"","","","",,"Cash",MA
"2025-04-05","THE NEST REAL WORLD - CLEMENT TOWN",790.0,"","","","",,"Cash",MA
"2025-04-05","WELCOME STORE - POST OFFICE ROAD",2800.0,"","","","",,"Cash",MA
"2025-04-05","ASHOKA STORE - CLEMENT TOWN",470.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","ACCENTUS PHARMACEUTICALS - KARGI",1000.0,"","","","",,"Cash",MA
"2025-04-05","BAJAJ TRADERS - MDDA KEDARPURAM",500.0,"","","","",,"Cash",MA
"2025-04-05","DAILY NEED DEPT - KARGI",200.0,"","","","",,"Cash",MA
"2025-04-05","HANUBHAGA STORE - KARGI",1628.0,"","","","",,"Cash",MA
"2025-04-05","RANGAD PROV - KARGI",419.0,"","","","",,"Cash",MA
"2025-04-05","R G MEDICAL - KEDDARPURAM",986.0,"","","","",,"Cash",MA
"2025-04-05","S MAHAWAR - KARGI",1000.0,"","","","",,"Cash",MA
"2025-04-05","R G MEDICAL - KEDDARPURAM",14.0,"","","","",,"Cash",MA
"2025-04-05","SHREE NARAYAN MEDICAL - KEDARPURAM",200.0,"","","","",,"Cash",MA
"2025-04-05","SHREE RAMA MEDICAL - KEDARPURAM",1172.0,"","","","",,"Cash",MA
"2025-04-05","SHREE RAMA MEDICAL - KEDARPURAM",28.0,"","","","",,"Cash",MA
"2025-04-05","SAMARTH MEDICAL - MOTHROWALA",277.0,"","","","",,"Cash",MA
"2025-05-09","MAA ANNAPURNA DEPT. - RING ROAD",16387.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","S S G ENTERPRISES - KARGI",9522.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","TIRUPATI MART - KARGI CHOWK",16683.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-15","GOYAL STORE - CLEMENT TOWN",27729.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-24","PARADISE COSMETICS - KAULAGARH",3380.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-19","KIRAN MEGA MARKET - PREM NAGAR",17386.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","DEHRA GEN STORE - PALTAN BAZAR",11945.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-28","ANAND THE SUPER VALUE STORE",19947.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","GOYAL STORE - CLEMENT TOWN",39715.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","PRATEEK ASSOCIATES",2951.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-28","KIRAN MEGA MARKET - PREM NAGAR",8206.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","SHREE SHYAM GROCERY - BANSAL HOME",13333.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","SHREE GANPATI STORE - POST OFFICE",3806.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","GUPTA MEDICAL HALL - CLOCK TOWER",6484.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","GUPTA STORE - SUBHASH NAGAR",5019.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-08","IMA VEG DEPT. STORE",4301.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
"2025-04-15","FAYDA BAZAR - RING ROAD",5940.0,"OD HDFC BANK A/C","","","",,"Bank Transfer",MA
