name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,team_id
"TAC KUMKUMADI FACEWASH 50ML","TAC FW KUMKUMADI 50ML","TAC KUMKUMADI FACEWASH 50ML","","TAC","TAC",114.98,"50 ML",available,36,18,pcs,MA
"TAC KUMKUMADI SUNSCREEN SPF40 50ML","TAC SUN KKUMADI SPF40 50M","TAC KUMKUMADI SUNSCREEN SPF40 50ML","","TAC","TAC",121.14,"50 ML",available,50,12,pcs,MA
"TAC SHRINGAAR SINDOOR MAROON 5ML","TAC SHRING SIND MAROON 5M","TAC SHRINGAAR SINDOOR MAROON 5ML","","TAC","TAC",135.68,"5 ML",available,28,0,pcs,MA
"TAC ASHWANGANDHA FACE WASH 50 ML","TAC FW ASHWANGANDHA 50 M","TAC ASHWANGANDHA FACE WASH 50 ML","","TAC","TAC",114.98,"50 ML",available,34,18,pcs,MA
"TAC VITAMIN C FACE WASH WITH ORANGE 50ML","TAC FW VITAMIN C 50ML","TAC VITAMIN C FACE WASH WITH ORANGE 50ML","","TAC","TAC",114.98,"50 ML",available,31,18,pcs,MA
"TAC UBTAN FACE WASH 50ML","TAC FW UBTAN 50ML","TAC UBTAN FACE WASH 50ML","","TAC","TAC",114.98,"50 ML",available,32,18,pcs,MA
"TAC ELADI & NEEM FACE WASH 50ML","TAC FW ELADI & NEEM 50ML","TAC ELADI & NEEM FACE WASH 50ML","","TAC","TAC",114.98,"50 ML",available,34,18,pcs,MA
"TAC OUDH & ALOE ROLL ON 50ML","TAC ROLL OUDH & ALOE 50ML","TAC OUDH & ALOE ROLL ON 50ML","","TAC","TAC",130,"50 ML",available,30,18,pcs,MA
"TAC ROSE & ALOE ROLL ON 50ML","TAC ROLL ROSE & ALOE 50ML","TAC ROSE & ALOE ROLL ON 50ML","","TAC","TAC",130,"50ML",available,18,18,pcs,MA
"TAC WHITENING UNDER ARM SERUM WITH LEMON","TAC WHIT UNDER ARM SERUM","TAC WHITENING UNDER ARM SERUM WITH LEMON","","TAC","TAC",130,"PCS",available,21,18,pcs,MA
"KE UBTAN FACE WASH 100ML","KE FW UBTAN 100ML","KE UBTAN FACE WASH 100ML","","TAC","TAC",143.87,"100 ML",available,65,18,pcs,MA
"KE VITAMIN C FACE WASH","KE FW VITAMIN C","KE VITAMIN C FACE WASH","","TAC","TAC",143.87,"PCS",available,72,18,pcs,MA
"TAC ROSE WATER 100ML","TAC ROSE WATER 100ML","TAC ROSE WATER 100ML","","TAC","TAC",143.87,"100 ML",available,58,18,pcs,MA
"TAC KUMKUMADI CLEANSING MILK","TAC KKUMADI CLEANS MILK","TAC KUMKUMADI CLEANSING MILK","","TAC","TAC",143.87,"PCS",available,9,18,pcs,MA
"KE COFFEE UNDER EYE SERUM 10ML","KE COFF UNDER EYE SER 10M","KE COFFEE UNDER EYE SERUM 10ML","","TAC","TAC",172.76,"10 ML",available,12,18,pcs,MA
