name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"OI T TEA CLASSIC 100G TI","OI T TEA CLASSIC 100G TI","OI T TEA CLASSIC 100G TI","","ORGANIC INDIA","ORGANIC INDIA",242.86,"PCS",outOfStock,0,5,pcs,1,MA
"OI T MASALA CHAI 100G TI","OI T MASALA CHAI 100G TI","OI T MASALA CHAI 100G TI","","ORGANIC INDIA","ORGANIC INDIA",214.52,"PCS",outOfStock,0,5,pcs,1,MA
"OI T KASHMIRI KAHWA 100G","OI T KASHMIRI KAHWA 100G","OI T KASHMIRI KAHWA 100G","","ORGANIC INDIA","ORGANIC INDIA",388.57,"PCS",outOfStock,0,5,pcs,1,MA
"OI T GINGER 100G ZIPPER","OI T GINGER 100G ZIPPER","OI T GINGER 100G ZIPPER","","ORGANIC INDIA","ORGANIC INDIA",255,"PC",outOfStock,0,5,pcs,1,MA
"OI QUINOA 500G","OI QUINOA 500G","OI QUINOA 500G","","ORGANIC INDIA","ORGANIC INDIA",224.76,"PCS",outOfStock,0,5,pcs,1,MA
"OI COCONUT OIL VIRGIN 500","OI COCONUT OIL VIRGIN 500","OI COCONUT OIL VIRGIN 500","","ORGANIC INDIA","ORGANIC INDIA",608.76,"500ML",outOfStock,0,5,pcs,1,MA
"OI GHEE 500ML","OI GHEE 500ML","OI GHEE 500ML","","ORGANIC INDIA","ORGANIC INDIA",646.86,"500ML",outOfStock,0,5,pcs,1,MA
"OI HONEY-MULTI FLORA 250G","OI HONEY-MULTI FLORA 250G","OI HONEY-MULTI FLORA 250G","8298","ORGANIC INDIA","ORGANIC INDIA",179.04,"PCS",outOfStock,0,5,pcs,1,MA
"OI MORINGA POWDER 100G","OI MORINGA POWDER 100G","OI MORINGA POWDER 100G","8300","ORGANIC INDIA","ORGANIC INDIA",209.51,"PCS",outOfStock,0,5,pcs,1,MA
"OI PSYLLIUM WHOLE HUSK 10","OI PSYLLIUM WHOLE HUSK 10","OI PSYLLIUM WHOLE HUSK 10","","ORGANIC INDIA","ORGANIC INDIA",210.47,"PCS",outOfStock,0,5,pcs,1,MA
"OI TRIPHALA POWDER 100G C","OI TRIPHALA POWDER 100G C","OI TRIPHALA POWDER 100G C","","ORGANIC INDIA","ORGANIC INDIA",194.29,"PCS",outOfStock,0,5,pcs,1,MA
"OI WHEAT GRASS 100G CAN","OI WHEAT GRASS 100G CAN","OI WHEAT GRASS 100G CAN","","ORGANIC INDIA","ORGANIC INDIA",344.04,"PCS",outOfStock,0,5,pcs,1,MA
