name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"KAI KNIFE HOCHO SM SANTOK","KAI KNIFE HOCHO SM SANTOK","KNIFE HOCHO SM SANTOK","5092","KAI","KAI",317.16,"PCS",available,7,18,pcs,1,JA
"KAI KNIFE HOCHO NAKIRI","KAI KNIFE HOCHO NAKIRI","KNIFE HOCHO NAKIRI","5122","KAI","KAI",412.5,"PCS",available,13,18,pcs,1,JA
"BO PRINCE BLUE SIPPER","BO PRINCE BLUE SIPPER","PRINCE BLUE SIPPER","","BONNE","BONNE",190.68,"PCS",outOfStock,0,18,pcs,1,JA
"BO PRINCESS PINK SIPPER","BO PRINCESS PINK SIPPER","PRINCESS PINK SIPPER","","BONNE","BONNE",190.68,"PCS",outOfStock,0,18,pcs,1,JA
"PRO O2 PACK 200GM","PRO O2 PACK 200GM","PRO O2 PACK 200GM","","PRO AROMA MAGIC","PRO AROMA MAGIC",733.71,"200GM",outOfStock,0,18,pcs,1,JA
"PRO WHEATGERM CREAM","PRO WHEATGERM CREAM","PRO WHEATGERM CREAM","","PRO AROMA MAGIC","PRO AROMA MAGIC",686.61,"200GM",outOfStock,0,18,pcs,1,JA
"BO BABY WIPES WITH LID","BO BABY WIPES WITH LID","BO BABY WIPES WITH LID","","BONNE","BONNE",93.57,"PCS",outOfStock,0,18,pcs,1,JA
"BO SMOOTH NIPPLE","BO SMOOTH NIPPLE","BO SMOOTH NIPPLE","","BONNE","BONNE",19.84,"PCS",outOfStock,0,5,pcs,1,JA
"BO NIPPLE SHIELD","BO NIPPLE SHIELD","BO NIPPLE SHIELD","","BONNE","BONNE",175.85,"PCS",available,8,18,pcs,1,JA
"KAI KNIFE COMPACT SHARPNE","KAI KNIFE COMPACT SHARPNE","KAI KNIFE COMPACT SHARPNE","5178","KAI","KAI",190.04,"PCS",available,32,18,pcs,1,JA
"BK CUCUMBER SUNSCREEN  50","BK CUCUMBER SUNSCREEN  50","CUCUMBER SUNSCREEN  50","","AROMA MAGIC","AROMA MAGIC",137.71,"50 ML",outOfStock,0,18,pcs,1,JA
"BK SERUM NIACINAMIDE FACE","BK SERUM NIACINAMIDE FACE","SERUM NIACINAMIDE FACE","","AROMA MAGIC","AROMA MAGIC",420.2,"30 ML",available,9,18,pcs,1,JA
"BK SERUM VITAMIN C FACE","BK SERUM VITAMIN C FACE","SERUM VITAMIN C FACE","","AROMA MAGIC","AROMA MAGIC",406.07,"30 ML",available,12,18,pcs,1,JA
"BK VITAMIN C KIT SMALL","BK VITAMIN C KIT SMALL","VITAMIN C KIT SMALL","","AROMA MAGIC","AROMA MAGIC",2048.02,"PKOF5",available,3,18,pcs,1,JA
"KAI RAZOR KAMISORI 1BLADE","KAI RAZOR KAMISORI 1BLADE","KAI RAZOR KAMISORI 1BLADE","","KAI","KAI",12.71,"PCS",available,48,18,pcs,1,JA
"KAI RAZOR KAMISORI 3BLADE","KAI RAZOR KAMISORI 3BLADE","KAI RAZOR KAMISORI 3BLADE","","KAI","KAI",69.92,"PCS",available,16,18,pcs,1,JA
"KAI WINE VACUUM STOPPER","KAI WINE VACUUM STOPPER","KAI WINE VACUUM STOPPER","","KAI","KAI",438.56,"PCS",available,4,18,pcs,1,JA
